scorer,P1T2,P1T2,P1T2,P1T2,P1T2,P1T2,P1T2,P1T2,P1T2,P1T2,P1T2,P1T2
bodyparts,center_upper_eyelid,center_upper_eyelid,center_lower_eyelid,center_lower_eyelid,left_lower_eyelid,left_lower_eyelid,left_upper_eyelid,left_upper_eyelid,right_upper_eyelid,right_upper_eyelid,right_lower_eyelid,right_lower_eyelid
coords,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\1_blink\img00.png,285.02406643801305,70.82760414659526,237.54632163089138,278.00321785039887,14.955855716983365,274.920247408378,11.256291186558286,234.84163166210647,494.04946240702924,269.37090061274034,472.4686693128829,301.4337932097576
labeled-data\1_blink\img03.png,293.6563836756715,78.22673320744536,243.71226251493317,284.7857528228448,17.422232070600046,292.8014759720991,14.955855716983365,250.87307796061503,490.9664919650083,266.90452425912366,476.1682338433081,318.0818335966704
labeled-data\1_blink\img07.png,294.8895718524799,78.22673320744536,252.34457975259164,280.46959420401555,19.2720143358126,278.619811938803,17.422232070600046,244.7071370765733,494.66605649543334,271.2206828779529,466.91932251724535,305.74995182858686
labeled-data\1_blink\img10.png,284.4074723496089,81.30970364946626,246.17863886854985,282.9359705576323,15.57244980538752,285.40234691124897,21.73839068942931,239.77438436933983,495.28265058383755,270.6040887895487,467.53591660564956,297.73422867933255
labeled-data\1_blink\img14.png,286.8738487032256,93.64158541754983,259.1271147250376,282.9359705576323,32.2204901923003,281.7027823808239,35.92005472272538,241.0075725461482,479.86779837373314,258.2722070214652,468.1525106940538,295.88444641412
labeled-data\1_blink\img17.png,283.1742841728005,105.97346718563335,248.6450152221666,276.7700296735905,33.45367836910867,282.9359705576323,30.37070792708778,242.24076072295657,460.13678754479946,248.40670160699835,431.15686538980304,292.18488188369497
labeled-data\1_blink\img19.png,264.6764615206752,126.32107210297124,260.36030290184596,278.00321785039887,40.23621334155462,276.7700296735905,43.31918378357551,232.37525530848973,451.50447030714093,250.25648387221088,429.92367721299473,285.40234691124897
labeled-data\1_blink\img21.png,259.7437088134418,155.30099425796755,242.4790743381248,281.7027823808239,42.08599560676714,278.619811938803,53.801283286446534,235.45822575051062,461.986569810012,265.05474199391114,436.70621218544073,296.5010405025242
labeled-data\1_blink\img22.png,241.86248024972065,183.6643223245597,235.0799452772747,282.3193764692281,27.90433157347107,281.7027823808239,38.38643107634209,247.79010751859414,457.0538171027785,271.8372769663571,446.5717175999076,299.58401094454507
labeled-data\1_blink\img24.png,229.53059848163707,216.3438090099811,219.66509306717023,285.40234691124897,39.003025164746276,281.7027823808239,42.702589695171326,248.40670160699835,410.19266638406106,270.6040887895487,397.8607846159775,294.0346641489075
labeled-data\1_blink\img30.png,238.16291571929554,224.97612624763963,222.74806350919113,288.48531735326986,30.37070792708778,284.16915873444066,35.92005472272538,253.95604840263593,421.9079540637404,273.6870592315696,414.5088250028903,297.11763459092833
labeled-data\1_blink\img34.png,267.1428378742919,212.64424447955605,244.94545069174154,281.08618829241976,46.402154225596405,271.8372769663571,51.334906932829824,245.32373116497746,414.5088250028903,279.2364060272072,407.1096959420402,298.3508227677367
labeled-data\1_blink\img37.png,273.92537284673784,207.71149177232263,257.8939265482292,295.2678523257158,48.25193649080893,286.63553508805734,47.635342402404746,253.95604840263593,457.0538171027785,283.55256464603644,444.72193533469505,306.366545916991
labeled-data\1_blink\img42.png,279.4747196423755,194.14642182743074,265.2930556090794,289.71850553007823,31.603896103896147,278.00321785039887,43.31918378357551,235.45822575051062,484.8005510809665,275.53684149678213,472.4686693128829,306.98314000539517
labeled-data\1_blink\img45.png,297.35594820609657,170.71584646807196,271.45899649312116,298.3508227677367,54.41787737485072,271.2206828779529,59.967224170488294,215.1106208331728,468.7691047824579,278.00321785039887,450.2712821303326,308.21632818220354
labeled-data\1_blink\img49.png,294.8895718524799,160.85034105360512,272.69218466992953,298.3508227677367,40.23621334155462,292.18488188369497,50.101718756021455,222.5097498940229,474.31845157809556,281.7027823808239,447.8049057767159,312.5324868010328
labeled-data\1_blink\img50.png,289.3402250568423,152.83461790435086,266.52624378588774,294.65125823731165,42.702589695171326,284.16915873444066,42.08599560676714,232.37525530848973,467.53591660564956,271.8372769663571,460.13678754479946,319.9316158618829
labeled-data\1_blink\img57.png,291.806601410459,142.96911248988403,277.00834328875874,299.58401094454507,22.354984777833465,287.2521291764615,35.92005472272538,231.75866122008557,457.0538171027785,257.0390188446568,446.5717175999076,301.4337932097576
labeled-data\1_blink\img61.png,285.6406605264172,126.9376661913754,273.92537284673784,299.58401094454507,26.054549308258544,288.48531735326986,46.402154225596405,201.54555088828084,471.8520752244788,262.5883656402944,450.2712821303326,311.29929862422443
labeled-data\1_blink\img64.png,303.52188909013836,126.9376661913754,280.7079078191838,300.8171991213534,21.73839068942931,289.71850553007823,42.702589695171326,216.9604030983853,478.6346101969247,267.5211183475278,459.52019345639525,308.8329222706077
